,Breakfast,Anytime snacks ,Chaat corner,specials ,Drinks,
,Sev Poha,Samosa,samosa chaat,manchurian ,Lassi,Rose/Mango/Malai
,Kanchipuram idli,Vadapav,Delhi Bhalla chaat,dal vada ,Falooda,Rose/Pista/Pan/Mango/
,Sev Usal,dabeli,Dahi vada,bhajiya,milk shakes,Mango/Chikoo/Banana/Badam/Chcolate
,Surati Locho,Puff,Chutney puri,fafda,Bottle  soda,
,Sev Khamani,Kachori,Mumbai bhel,veg cutlets ,fresh juice,Anti Oxidant/Anti inflammatory 
,idli Sambhar ,Bread roll,pani puri,,Pop,
,upma,,aloo chana chaat,,fruit salad/Cream,Cream Salad
,Misal pav,,Delhi Chaat,,Shahi Rabri,
,medu vada,,Bhutta chaat,,,
,,,peanut chaat,,,
,,,Chana chor garam,,,
,,,Chinese bhel,,,
,,,paneer tikka masala,,,
,,,Basket chaat,,,
