ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Backorders allowed?","Sold individually?","Weight (g)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
21,simple,,"Sev Poha",1,0,visible,,"Savory flattened rice flakes  cooked with vegetables and garnished with pomegranates and sev  along with in-house  Poha Masala..",,,taxable,,1,,0,0,,,,,1,,,25,Breakfast,,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/inst-poha.jpg,,,,,,,,,0
41,simple,,"Kanchipuram idli",1,0,visible,,"Bringing you with most healthy breakfast recipe of idli. Made with  special rice and lentils this idli has choicest spices and is steamed and served with authentic. In house Kara  Dipping.",,,taxable,,1,,0,0,,,,,1,,,99,Breakfast,,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/images.jpg,,,,,,,,,0
44,simple,,"Sev Usal",1,0,visible,,"a medley of sweet , tangy and spicy flavoured Peas curry , finest Indian spices garnished with sev and served with bun and our in-house dipping sauce.",,,taxable,,1,,0,0,,,,,1,,,49,Breakfast,,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/inst-poha.jpg,,,,,,,,,0
45,simple,,"Surati Locho",1,0,visible,,"A surti delicacy made from gram dal with vey little oil and is steamed, served with spicy in-house  chutney, chilies and sev.",,,taxable,,1,,0,0,,,,,1,,,65,Breakfast,,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/inst-poha.jpg,,,,,,,,,0
46,simple,,"Sev Khamani",1,0,visible,,"Traditional Surati Breakfast <strong>sev khamani</strong> is made from  chana dal or Bengal gram. The chana dal is crushed and stir fried with spices, chillies, ginger, garlic and saved with sev and Pomegranate seeds along with our in-house  Chutney.",,,taxable,,1,,0,0,,,,,1,,,49,Breakfast,,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/inst-poha.jpg,,,,,,,,,0
47,simple,,"idli Sambhar",1,0,visible,,"Steamed rice and lentil cakes served over hot vegetable and lentil curry blended with choices spices from south India along with coconut and in-house tomato chutney.",,,taxable,,1,,0,0,,,,,1,,,41,Breakfast,,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/images.jpg,,,,,,,,,0
48,simple,,upma,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,45,Breakfast,,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/indian-snacks1.jpg,,,,,,,,,0
49,simple,,"Misal pav",1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,21,Breakfast,,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/indian-snacks1.jpg,,,,,,,,,0
51,simple,,Samosa,1,0,visible,,"Very Prominent Triangle shaped  fried dumpling stuffed with mashed boiled potato, onions, green peas, spices and green chili and our secret samosa masala, served with 3 in-house dipping specialities.",,,taxable,,1,,0,0,,,,,1,,,59,"Anytime snacks",,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/indian-snacks1.jpg,,,,,,,,,0
52,simple,,Vadapav,1,0,visible,,"Life line of Mumbai, Vada Pav is potato stuffing mixed with special masala, coated with gram flour and deep fried. It is served with bun , fried chillies and 3 in-house dipping specialities.",,,taxable,,1,,0,0,,,,,1,,,51,"Anytime snacks",,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/indian-snacks1.jpg,,,,,,,,,0
53,simple,,dabeli,1,0,visible,,"Most famous Street food from Kutch province , this is a sandwich made with bun and potato  stuffing mixed with special in-house dabble masala , served with fried peanuts , sev , Pomegranates and 3 in-house dipping specialities.",,,taxable,,1,,0,0,,,,,1,,,21,"Anytime snacks",,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/indian-snacks1.jpg,,,,,,,,,0
54,simple,,Puff,1,0,visible,,"most common tea time snack in India , puff pastry with vegetables / cheese stuffing baked and served with 3 in-house dipping specialities.",,,taxable,,1,,0,0,,,,,1,,,41,"Anytime snacks",,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/indian-snacks1.jpg,,,,,,,,,0
55,simple,,Kachori,1,0,visible,,"out popular snack from  Rajasthan, India, Khasta <strong>Kachori</strong> is a crispy puff pastry deep fried with dry lentil stuffing  served with  3 in-house dipping specialities and sev",,,taxable,,1,,0,0,,,,,1,,,40,"Anytime snacks",,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/indian-snacks1.jpg,,,,,,,,,0
56,simple,,"Bread roll",1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,49,"Anytime snacks",,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/images.jpg,,,,,,,,,0
57,simple,,"samosa chaat",1,0,visible,,"Fresh crispy Samosa Crumbled and served with sev, chat  masala, yogurt,  fresh coriander , 3 in-house dipping specialities.",,,taxable,,1,,0,0,,,,,1,,,69,"Chaat corner",,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/indian-snacks1.jpg,,,,,,,,,0
58,simple,,"Delhi Bhalla chaat",1,0,visible,,"Lentil dumplings  coated with yogurt, mint and coriander chutney, papdi and special dilli wali saunth.",,,taxable,,1,,0,0,,,,,1,,,79,"Chaat corner",,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/inst-poha.jpg,,,,,,,,,0
59,simple,,"Dahi vada",1,0,visible,,"Lentil dumpling deep fried and served in yogurt and garnished with dilli special saints and seasoning",,,taxable,,1,,0,0,,,,,1,,,79,"Chaat corner",,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/indian-snacks1.jpg,,,,,,,,,0
60,simple,,"Chutney puri",1,0,visible,,"Semolina puffed balls stuffed with boiled  potatoes and gram, onions, tomatoes garnished with coriander, sev , yogurt, chat masala and our 3 in- house dipping specialities

&nbsp;",,,taxable,,1,,0,0,,,,,1,,,89,"Chaat corner",,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/images.jpg,,,,,,,,,0
61,simple,,"Mumbai bhel",1,0,visible,,"A snack fro anytime hungry moments , a mix of puffed rice, sev, roasted spicy Hana dal, onion, tomato, green chili, raw mango , peanuts vanished with special in house bhel masala, lemon and cilantro",,,taxable,,1,,0,0,,,,,1,,,49,"Chaat corner",,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/images.jpg,,,,,,,,,0
62,simple,,manchurian,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,49,specials,,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/bfast_special_mediterranean_scamble_800x532.jpg,,,,,,,,,0
63,simple,,"dal vada",1,0,visible,,": Lentil dumpling deep fried and served in yogurt and garnished with dilli special saints and seasoning",,,taxable,,1,,0,0,,,,,1,,,79,specials,,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/inst-poha.jpg,,,,,,,,,0
64,simple,,bhajiya,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,51,specials,,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/images.jpg,,,,,,,,,0
65,simple,,fafda,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,120,specials,,,http://propertynear.co.uk/food_live/wp-content/uploads/2018/09/inst-poha.jpg,,,,,,,,,0
